user,task_id,query_id,UCTR,QCTR,MaxRR,MinRR,MeanRR,MaxRRow,MinRRow,MeanRRow,PLC,MaxScroll,QDT,SCD,ACD,TTFC,TTLC,DsatCC,DsatCR,LastClickToEnd
2015012867,11,5,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.005050505050505051,1800.0,48971,3582,3582.0,42626,42626,1,1.0,6345
2015012867,11,6,0,0,0,0,0,0,0,0,0,0.0,619,0,0,2000000,2000000,0,0,2000000
2015012867,12,0,1,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5,0.5,0.5,0.0024509803921568627,800.0,77286,3607,3607.0,6407,6407,1,1.0,70879
2015011770,1,0,1,3,1.0,0.04,0.4577777777777778,1.0,0.2,0.7333333333333334,0.0030091930848742906,2500.0,141291,12401,4133.666666666667,14660,122196,3,1.0,19095
2015011770,2,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0030864197530864196,400.0,33903,3007,3007.0,9756,9756,1,1.0,24147
2015011770,2,1,1,1,0.1,0.1,0.1,0.5,0.5,0.5,0.0019156464253079878,500.0,49136,2724,2724.0,5936,5936,1,1.0,43200
2015011770,3,0,0,0,0,0,0,0,0,0,0,2700.0,44389,0,0,2000000,2000000,0,0,2000000
2015011770,3,1,0,0,0,0,0,0,0,0,0,1200.0,21553,0,0,2000000,2000000,0,0,2000000
2015011770,3,2,1,2,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.002943435990569231,700.0,87812,12426,6213.0,37701,66589,2,1.0,21223
2015011770,4,0,1,1,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.000791765637371338,1300.0,97360,3035,3035.0,58824,58824,1,1.0,38536
2015011770,5,0,1,1,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.5,0.5,0.5,0.0021551724137931034,600.0,38245,1667,1667.0,24797,24797,1,1.0,13448
2015011770,6,0,1,1,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.125,0.125,0.125,0.0006005216130731153,1200.0,29747,1476,1476.0,20163,20163,1,1.0,9584
2015011770,7,0,1,1,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0016564134673040544,200.0,30370,2165,2165.0,14353,14353,1,1.0,16017
2015011770,8,0,1,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5,0.5,0.5,0.0024509803921568627,0.0,14298,1642,1642.0,4154,4154,1,1.0,10144
2015011770,9,0,0,0,0,0,0,0,0,0,0,2200.0,24351,0,0,2000000,2000000,0,0,2000000
2015011770,9,2,0,0,0,0,0,0,0,0,0,6100.0,41196,0,0,2000000,2000000,0,0,2000000
