user,task_id,query_id,UCTR,QCTR,MaxRR,MinRR,MeanRR,MaxRRow,MinRRow,MeanRRow,PLC,MaxScroll,QDT,SCD,ACD,TTFC,TTLC,DsatCC,DsatCR
2016010811,4,7,0,0,0,0,0,0,0,0,0,800.0,36115,0,0,2000000,2000000,0,0
2016010811,5,1,1,2,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.010101010101010102,0.0,13038,925,462.5,-1499497929619,-1499497929681,2,1.0
2016010811,5,2,0,0,0,0,0,0,0,0,0,0.0,3533,0,0,2000000,2000000,0,0
2016010811,6,1,0,0,0,0,0,0,0,0,0,1000.0,15723,0,0,2000000,2000000,0,0
2016010811,7,1,1,3,0.02,0.013157894736842105,0.016799758015728975,0.14285714285714285,0.1111111111111111,0.1263227513227513,0.0015903232013842173,2200.0,49184,2818,939.3333333333334,-1499495576525,-1499495575464,3,1.0
2016010811,7,2,1,2,0.03333333333333333,0.027777777777777776,0.030555555555555555,0.25,0.2,0.225,0.0019293491630000994,400.0,36697,1546,773.0,-1499495626791,-1499495626615,2,1.0
2016010811,8,1,1,1,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0016181229773462784,2100.0,33256,758,758.0,-1499495753131,-1499495753131,1,1.0
2016010811,8,2,1,2,0.02,0.019230769230769232,0.019615384615384618,0.125,0.125,0.125,0.0011931131124920732,1300.0,48099,1026,513.0,-1499495785713,-1499495785691,2,1.0
2016010811,9,1,0,0,0,0,0,0,0,0,0,400.0,12068,0,0,2000000,2000000,0,0
2016010811,9,2,1,2,0.125,0.0625,0.09375,0.5,0.3333333333333333,0.41666666666666663,0.003249934595066274,400.0,20992,1060,530.0,-1499498073316,-1499498073556,2,1.0
2016010811,9,3,0,0,0,0,0,0,0,0,0,0.0,17649,0,0,2000000,2000000,0,0
2016010811,9,4,0,0,0,0,0,0,0,0,0,0.0,12315,0,0,2000000,2000000,0,0
2016010811,9,5,1,1,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.125,0.125,0.125,0.0005953855240345228,3900.0,48401,1253,1253.0,-1499498123952,-1499498123952,1,1.0
2016010811,9,6,1,1,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.2,0.2,0.2,0.0009711245816880866,1500.0,36976,1000,1000.0,-1499498173152,-1499498173152,1,1.0
2016010811,9,7,0,0,0,0,0,0,0,0,0,0.0,5347,0,0,2000000,2000000,0,0
2016010811,9,8,0,0,0,0,0,0,0,0,0,1400.0,20145,0,0,2000000,2000000,0,0
2016010811,9,9,0,0,0,0,0,0,0,0,0,3700.0,35854,0,0,2000000,2000000,0,0
2016010811,9,10,0,0,0,0,0,0,0,0,0,0.0,10439,0,0,2000000,2000000,0,0
2016010811,9,11,0,0,0,0,0,0,0,0,0,1200.0,16082,0,0,2000000,2000000,0,0
2016010811,9,12,1,1,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.5,0.5,0.5,0.002486739461819846,1400.0,17292,1009,1009.0,-1499498300042,-1499498300042,1,1.0
2016010811,9,13,1,1,0.0625,0.0625,0.0625,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0016495906540791902,1500.0,37739,1434,1434.0,-1499498317530,-1499498317530,1,1.0
2016010811,9,14,0,0,0,0,0,0,0,0,0,1000.0,15837,0,0,2000000,2000000,0,0
2016010811,9,15,0,0,0,0,0,0,0,0,0,3200.0,24811,0,0,2000000,2000000,0,0
2016010811,9,16,0,0,0,0,0,0,0,0,0,900.0,10933,0,0,2000000,2000000,0,0
2016010811,9,17,1,1,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.25,0.25,0.25,0.0012219695460749726,200.0,28676,1487,1487.0,-1499498407741,-1499498407741,1,1.0
2016010811,9,18,0,0,0,0,0,0,0,0,0,0.0,15331,0,0,2000000,2000000,0,0
2016010811,9,19,0,0,0,0,0,0,0,0,0,1700.0,22668,0,0,2000000,2000000,0,0
2016010811,9,20,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.005050505050505051,8400.0,161079,825,825.0,-1499498475769,-1499498475769,1,1.0
2016010811,9,21,0,0,0,0,0,0,0,0,0,0.0,4314,0,0,2000000,2000000,0,0
2016010811,10,1,0,0,0,0,0,0,0,0,0,0.0,30798,0,0,2000000,2000000,0,0
2016010811,10,2,0,0,0,0,0,0,0,0,0,0.0,12938,0,0,2000000,2000000,0,0
2016010811,10,3,0,0,0,0,0,0,0,0,0,3500.0,46749,0,0,2000000,2000000,0,0
2016010811,10,4,1,1,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0006809957247088402,1700.0,100868,1250,1250.0,-1499495324091,-1499495324091,1,1.0
2016010811,10,5,0,0,0,0,0,0,0,0,0,0.0,43382,0,0,2000000,2000000,0,0
2016010811,11,2,0,0,0,0,0,0,0,0,0,1400.0,21412,0,0,2000000,2000000,0,0
2016010811,11,3,0,0,0,0,0,0,0,0,0,0.0,4226,0,0,2000000,2000000,0,0
2016010811,11,5,0,0,0,0,0,0,0,0,0,0.0,5882,0,0,2000000,2000000,0,0
2016010811,11,6,0,0,0,0,0,0,0,0,0,0.0,5320,0,0,2000000,2000000,0,0
2016010811,11,7,1,1,0.5,0.5,0.5,1.0,1.0,1.0,0.005050505050505051,1100.0,29334,485,485.0,-1499496984410,-1499496984410,1,1.0
2016010811,11,8,1,5,0.1111111111111111,0.029411764705882353,0.062154995331465915,0.5,0.2,0.35666666666666663,0.004905230938272573,1400.0,76250,5015,1003.0,-1499497013571,-1499497012872,5,1.0
2016010811,12,2,0,0,0,0,0,0,0,0,0,0.0,4655,0,0,2000000,2000000,0,0
2016010811,12,3,0,0,0,0,0,0,0,0,0,6100.0,28078,0,0,2000000,2000000,0,0
2016010811,12,4,1,1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.5,0.5,0.0024509803921568627,0.0,13316,1765,1765.0,-1499497306295,-1499497306295,1,1.0
2016010811,12,5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.005050505050505051,200.0,10045,210,210.0,-1499497320123,-1499497320123,1,1.0
2016010811,12,6,1,1,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0016399330251352536,300.0,16849,1493,1493.0,-1499497329993,-1499497329993,1,1.0
2016010811,12,8,1,5,1.0,0.05263157894736842,0.3771929824561403,1.0,0.3333333333333333,0.7666666666666667,0.008167212236444062,1200.0,67653,3428,685.6,-1499497353851,-1499497353497,5,1.0
2016010811,12,10,0,0,0,0,0,0,0,0,0,0.0,2353,0,0,2000000,2000000,0,0
2016010811,12,11,0,0,0,0,0,0,0,0,0,1600.0,14505,0,0,2000000,2000000,0,0
2016010811,12,12,0,0,0,0,0,0,0,0,0,500.0,9575,0,0,2000000,2000000,0,0
2016011297,1,1,1,3,0.5,0.06666666666666667,0.3,1.0,0.3333333333333333,0.7777777777777777,0.0049641012742847965,2800.0,81935,2717,905.6666666666666,-1499501776888,-1499501776886,3,1.0
2016011297,2,1,1,3,0.3333333333333333,0.02857142857142857,0.1761904761904762,1.0,0.16666666666666666,0.7222222222222222,0.002232142857142857,1200.0,146775,3466,1155.3333333333333,-1499501194919,-1499501194050,3,1.0
2016011297,4,1,1,2,0.2,0.05555555555555555,0.12777777777777777,1.0,0.3333333333333333,0.6666666666666666,0.0032594842843965224,2800.0,61074,2573,1286.5,-1499503703164,-1499503702730,2,1.0
2016011297,6,1,1,3,0.058823529411764705,0.025,0.04183006535947712,0.3333333333333333,0.16666666666666666,0.24999999999999997,0.0023734177215189874,3400.0,87087,2878,959.3333333333334,-1499500959641,-1499500958956,3,1.0
2016011297,9,2,0,0,0,0,0,0,0,0,0,3400.0,39430,0,0,2000000,2000000,0,0
2016011297,9,3,0,0,0,0,0,0,0,0,0,1800.0,12364,0,0,2000000,2000000,0,0
2016011297,9,5,0,0,0,0,0,0,0,0,0,1700.0,21568,0,0,2000000,2000000,0,0
2016011297,9,7,0,0,0,0,0,0,0,0,0,100.0,3253,0,0,2000000,2000000,0,0
2016011297,9,8,0,0,0,0,0,0,0,0,0,700.0,11879,0,0,2000000,2000000,0,0
2016011297,9,9,0,0,0,0,0,0,0,0,0,1100.0,13181,0,0,2000000,2000000,0,0
2016011297,9,10,0,0,0,0,0,0,0,0,0,0.0,4866,0,0,2000000,2000000,0,0
2016011297,10,1,1,2,1.0,0.2,0.6,1.0,1.0,1.0,0.010101010101010102,300.0,128656,1874,937.0,-1499500683541,-1499500683437,2,1.0
2016011297,11,1,1,4,0.2,0.030303030303030304,0.09924242424242424,1.0,0.25,0.5625,0.0049003273418664365,800.0,54924,4283,1070.75,-1499502519668,-1499502519858,4,1.0
2016011297,11,2,1,2,1.0,0.01694915254237288,0.5084745762711864,1.0,0.1,0.55,0.00098010773344206,1400.0,40503,654,327.0,-1499502575112,-1499502573687,2,1.0
2016011297,11,3,1,3,0.125,0.038461538461538464,0.08479020979020979,1.0,0.3333333333333333,0.611111111111111,0.0048543689320388345,500.0,63213,2760,920.0,-1499502615696,-1499502615049,3,1.0
2016011297,11,4,0,0,0,0,0,0,0,0,0,900.0,26200,0,0,2000000,2000000,0,0
2016011297,11,5,1,3,0.029411764705882353,0.02631578947368421,0.027584860402197865,0.2,0.16666666666666666,0.17777777777777778,0.0024096385542168677,800.0,253613,2320,773.3333333333334,-1499502706102,-1499502705939,3,1.0
2016011297,12,1,1,13,0.1111111111111111,0.010416666666666666,0.05937315291431617,0.5,0.0625,0.30703879453879457,0.0038461538461538464,3400.0,236283,12570,966.9230769230769,-1499500064101,-1499500064050,13,1.0
2016011330,1,1,0,0,0,0,0,0,0,0,0,600.0,19457,0,0,2000000,2000000,0,0
2016011330,1,2,0,0,0,0,0,0,0,0,0,5200.0,47675,0,0,2000000,2000000,0,0
2016011330,1,3,0,0,0,0,0,0,0,0,0,6900.0,79894,0,0,2000000,2000000,0,0
2016011330,1,4,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.005050505050505051,2200.0,81671,202,202.0,-1499515888864,-1499515888864,1,1.0
2016011330,2,1,0,0,0,0,0,0,0,0,0,300.0,13072,0,0,2000000,2000000,0,0
2016011330,2,2,0,0,0,0,0,0,0,0,0,2600.0,58047,0,0,2000000,2000000,0,0
2016011330,2,3,0,0,0,0,0,0,0,0,0,2300.0,63747,0,0,2000000,2000000,0,0
2016011330,3,1,0,0,0,0,0,0,0,0,0,600.0,41823,0,0,2000000,2000000,0,0
2016011330,3,2,0,0,0,0,0,0,0,0,0,1700.0,85018,0,0,2000000,2000000,0,0
2016011330,3,3,0,0,0,0,0,0,0,0,0,200.0,12709,0,0,2000000,2000000,0,0
2016011330,3,4,0,0,0,0,0,0,0,0,0,2300.0,58921,0,0,2000000,2000000,0,0
2016011330,4,1,0,0,0,0,0,0,0,0,0,300.0,42410,0,0,2000000,2000000,0,0
2016011330,4,2,0,0,0,0,0,0,0,0,0,1100.0,27161,0,0,2000000,2000000,0,0
2016011330,5,1,1,1,0.1,0.1,0.1,1.0,1.0,1.0,0.005050505050505051,1400.0,68855,469,469.0,-1499516298461,-1499516298461,1,1.0
2016011330,5,2,0,0,0,0,0,0,0,0,0,5500.0,51403,0,0,2000000,2000000,0,0
2016011330,5,3,1,2,0.3333333333333333,0.05,0.19166666666666665,1.0,0.3333333333333333,0.6666666666666666,0.003236245954692557,1800.0,49196,1936,968.0,-1499516420231,-1499516419591,2,1.0
2016011330,6,1,1,1,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.1,0.1,0.1,0.0004810546256769641,7200.0,96945,148,148.0,-1499516116368,-1499516116368,1,1.0
2016011330,7,1,0,0,0,0,0,0,0,0,0,200.0,10380,0,0,2000000,2000000,0,0
2016011330,7,2,1,2,0.01694915254237288,0.010638297872340425,0.013793725207356652,0.1111111111111111,0.06666666666666667,0.08888888888888888,0.0006342062971611658,3000.0,71405,1863,931.5,-1499517935942,-1499517934719,2,1.0
2016011330,7,3,0,0,0,0,0,0,0,0,0,1400.0,18531,0,0,2000000,2000000,0,0
2016011330,7,4,0,0,0,0,0,0,0,0,0,2100.0,24907,0,0,2000000,2000000,0,0
2016011330,7,5,0,0,0,0,0,0,0,0,0,1900.0,26521,0,0,2000000,2000000,0,0
2016011330,7,7,1,4,0.5,0.3333333333333333,0.41666666666666663,1.0,1.0,1.0,0.020202020202020204,3900.0,58256,3183,795.75,-1499518092700,-1499518092721,4,1.0
2016011330,8,1,0,0,0,0,0,0,0,0,0,2100.0,38952,0,0,2000000,2000000,0,0
2016011330,8,2,0,0,0,0,0,0,0,0,0,1400.0,21024,0,0,2000000,2000000,0,0
2016011330,9,1,0,0,0,0,0,0,0,0,0,5200.0,152918,0,0,2000000,2000000,0,0
2016011330,9,2,0,0,0,0,0,0,0,0,0,7200.0,68216,0,0,2000000,2000000,0,0
2016011330,9,3,0,0,0,0,0,0,0,0,0,4200.0,57075,0,0,2000000,2000000,0,0
2016011330,9,4,0,0,0,0,0,0,0,0,0,3000.0,24547,0,0,2000000,2000000,0,0
2016011330,9,6,1,2,0.14285714285714285,0.029411764705882353,0.0861344537815126,1.0,0.16666666666666666,0.5833333333333334,0.0015885623510722795,2400.0,44616,2675,1337.5,-1499517160200,-1499517159330,2,1.0
2016011330,9,7,1,2,0.047619047619047616,0.034482758620689655,0.041050903119868636,0.25,0.2,0.225,0.002004616632103735,2800.0,68110,2202,1101.0,-1499517204555,-1499517204142,2,1.0
2016011330,9,8,0,0,0,0,0,0,0,0,0,8600.0,118798,0,0,2000000,2000000,0,0
2016011330,9,9,1,1,0.006329113924050633,0.006329113924050633,0.006329113924050633,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.00019727239352370515,10937.0,55823,1259,1259.0,-1499517387751,-1499517387751,1,1.0
2016011330,9,10,0,0,0,0,0,0,0,0,0,4500.0,24531,0,0,2000000,2000000,0,0
2016011330,9,11,1,1,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0007836990595611285,6100.0,95951,922,922.0,-1499517472013,-1499517472013,1,1.0
2016011330,9,12,0,0,0,0,0,0,0,0,0,1100.0,9570,0,0,2000000,2000000,0,0
2016011330,9,13,0,0,0,0,0,0,0,0,0,3700.0,25099,0,0,2000000,2000000,0,0
2016011330,9,14,0,0,0,0,0,0,0,0,0,10000.0,73690,0,0,2000000,2000000,0,0
2016011330,9,15,1,1,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.2,0.2,0.2,0.0009678911780590685,5900.0,45328,1624,1624.0,-1499517677583,-1499517677583,1,1.0
2016011330,10,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.005050505050505051,5700.0,57188,230,230.0,-1499518313162,-1499518313162,1,1.0
2016011330,11,1,1,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0,0.005050505050505051,600.0,198334,169,169.0,-1499514430665,-1499514430665,1,1.0
2016011330,11,2,0,0,0,0,0,0,0,0,0,0.0,14649,0,0,2000000,2000000,0,0
2016011330,11,3,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.005050505050505051,0.0,46336,133,133.0,-1499514644523,-1499514644523,1,1.0
2016011330,11,4,0,0,0,0,0,0,0,0,0,1500.0,24825,0,0,2000000,2000000,0,0
